Country,PopDenisty_per_mile,Coast_Line_Ratio,Birthrate,Percent_incountry_Travel_Growth,Percent_self_emplyed,suicide_per_100k,antidepressant_per_1k,Per_of_FemalePop,Household_size,Household_Nuclear,suicide_per_100k_Ranked,Birthrate_Ranked,Percent_incountry_Travel_Growth_Ranked,Percent_self_emplyed_Ranked,PopDenisty_per_mile_Ranked,Coast_Line_Ratio_Ranked,antidepressant_per_1k_Ranked,Per_of_FemalePop_Ranked,Household_size_Ranked,Household_Nuclear_Ranked,Overall_Rank
Cote d'Ivoire,54.8,0.16,35.11,6.90461,75.2,18.64728348,0,49.34258834,5.745,30.1225,173,40,13,26,86,158.5,0,166,19,147,82.85
Turkey,90.2,0.92,16.62,2.04149,31.6,4.61430446,41,50.74973723,4.41,64.37166667,39,134,160,102,124,109,7,63,68,24,83
Nepal,192.2,0,30.98,4.80351,80,11.91137636,0,51.45671778,4.937142857,51.83,136,52,63,19,172,205.5,0,28,44,112,83.15
Suriname,2.7,0.24,18.02,10.1975,15.2,19.8852472,0,49.81602671,3.94,0,178,121.5,5,144,7.5,145,0,141,91,0,83.3
Jamaica,250.9,9.3,20.82,4.81849,40.8,2.979122315,0,50.24224188,3.6525,38.8425,17,101,62,77.5,181,60,0,100,99,138,83.55
Bolivia,8.2,0,23.3,2.70054,34.4,2.09177033,0,49.93761985,4.162222222,58.25875,11,81,140,98,19,205.5,0,132,83,70,83.95
Uruguay,19.5,0.37,13.91,4.71814,27.8,11.43545071,0,51.69195396,3.174285714,58.27857143,130,158,66,110,44,133,0,24,110,69,84.4
Malawi,109.8,0,43.13,3.81246,60.9,10.43462987,0,50.46127702,4.405555556,56.47222222,120,12,89,44,139,205.5,0,86,69,83,84.75
Namibia,2.5,0.19,24.32,-2.20997,29.7,8.526318863,0,51.35080095,4.95,27.2625,101,80,177,107,5,155.5,0,32,42,149,84.85
Ecuador,47.8,0.79,22.29,2.25086,48.5,7.713120632,0,50.02170245,4.435714286,55.64,85,90,157,62,77,113,0,121,64,86,85.5
Dominican Republic,188.5,2.64,23.22,3.64736,43.9,5.553111315,0,50.20583726,3.96,52.83,52,82,99,71.5,170,83,0,103,89,106,85.55
Burundi,290.7,0,42.22,1.31559,93.3,13.40180391,0,50.78774939,4.65,67.05333333,150,15,172,1,188,205.5,0,58,58,10,85.75
Argentina,14.4,0.18,16.73,2.77851,24.8,7.6557415,0,51.05634302,3.546,60.414,83,132,139,120,33,157,0,42,101,51,85.8
Bosnia and Herzegovina,88,0.04,8.77,5.177,25.4,11.05099484,0,50.90671126,0,0,126,217,47,119,122,179.5,0,50,0,0,86.05
Nigeria,142.7,0.09,40.43,3.56261,81.5,7.514535755,0,49.32625945,4.756666667,54.47333333,82,21,103,15,157,173.5,0,167,54,93,86.55
United States,31,0.21,14.14,3.05635,9.66,11.02192463,0,50.50442726,0,0,125,155,126,168,59,153,0,81,0,0,86.7
Albania,124.6,1.26,15.11,3.68443,59.6,6.063859235,0,49.52042114,3.66,65.23666667,59,149,96,46.5,146,101,0,157,98,18,87.05
Botswana,2.7,0,23.08,5.46524,17.6,9.960464787,0,50.57017496,4.424,22.3825,114,83,39,130,7.5,205.5,0,75,66,151,87.1
Chile,21.3,0.85,15.23,3.55338,27.7,7.099052863,41.4,50.46306445,4.134,53.665,73,148,105,111,47,110,8,85,84,100,87.1
Armenia,99.9,0,12.07,5.12246,43.7,3.568777585,0,52.96482882,3.9125,49.40166667,23,173,49,73.5,133,205.5,0,10,94,116,87.7
Greece,81,10.37,9.68,1.93201,33,3.028586733,48.1,50.77984981,2.8425,64.88166667,18,205,163,99,119,57,10,60,125,21,87.7
Serbia,106.3,0,0,5.04627,31.6,14.47202875,0,51.13593872,2.925,58.31,156,0,53,102,137,205.5,0,40,116,68,87.75
Bangladesh,1023.4,0.4,29.8,6.5917,60.1,14.60783785,0,49.5743623,4.941,59.104,157,57,19,45,217,131,0,152,43,60,88.1
Gabon,5.3,0.33,36.16,2.66072,34.6,7.211264157,0,48.63423515,4.535,31.12,76,36,143,96,15,137,0,176,60,145,88.4
Malaysia,74,1.42,22.86,3.61575,25.6,8.1285568,0,48.37674988,4.76,60.89,92,85,102,118,109,98,0,182,53,46,88.5
New Zealand,15.2,5.63,13.76,3.15797,17.3,11.12116104,72.8,50.8263287,2.69,63.02,128,160,121,133.5,35,70,20,55,129,35,88.65
Kyrgyz Republic,26.3,0,22.8,4.39962,39.8,14.12801374,0,50.41428499,4.506,55.99,154,86,75,81,52,205.5,0,88,61,85,88.75
Tajikistan,51.2,0,32.65,0.720572,47.9,3.936590904,0,49.7764294,6.13,45.5,28,49,176,65,84,205.5,0,144,11,125,88.75
Israel,305.8,1.31,17.97,4.93728,15.8,6.691274,49.2,50.33014776,3.41,73.474,68,123,58,140,192,100,11,94,106,5,89.7
