Country,PopDenisty_per_mile,Coast_Line_Ratio,Birthrate,PopDenisty_per_mile_Ranked,Coast_Line_Ratio_Ranked,Birthrate_Ranked,Percent_incountry_Travel_Growth,Percent_incountry_Travel_Growth_Ranked,Percent_self_emplyed,Percent_self_emplyed_Ranked,suicide_per_100k,suicide_per_100k_Ranked,No_of_Arrivals,No_of_Arrivals_Ranked,Per_of_FemalePop,Per_of_FemalePop_Ranked,Household_size,Household_Nuclear,Household_size_Ranked,Household_Nuclear_Ranked,Weighted_Rank,Overall_Rank
Somalia,13.9,0.47,45.13,31,124.5,8,0,0,73.8,28,23.27362957,183,0,0,50.1870235,106,0,0,0,0,53,159
Djibouti,21.2,1.37,39.53,46,99,25,0,0,41.3,76,5.160983276,47,0,0,49.81640428,140,0,0,0,0,33,170
"Egypt, Arab Rep.",78.8,0.24,22.94,114,145,84,2.25521,156,0,0,0.521247836,1,11196000,34,49.43782799,161,0,0,0,0,45,165
Grenada,260.8,35.17,22.08,184,33,92,3.78667,92,0,0,3.614288829,26,185000,127,49.78203606,142,0,0,0,0,59,143.5
Turkmenistan,10.3,0,27.61,24,205.5,66,0,0,25.9,116.5,10.02790602,116,0,0,50.75981175,61,0,0,0,0,53,159
Puerto Rico,284.8,3.63,12.77,186,76,166,2.63395,145,0,0,0,0,3068000,69,51.93109181,21,3.208571429,64.60166667,109,22,58,146.5
Equatorial Guinea,19.3,1.06,35.59,42,104,37,0,0,40.1,79,9.18236214,104,0,0,44.64294166,185,0,0,0,0,47,163.5
Russian Federation,8.4,0.22,9.95,20,150.5,201,3.67607,97,0,0,0,0,24551000,15,53.52634937,6,2.645,50.96,131,113,50,162
"Korea, North",191.8,2.07,15.54,171,88,143,4.07087,80,66.9,37,11.55611508,132,0,0,51.08895834,41,0,0,0,0,56,152
Guinea-Bissau,39.9,0.97,37.22,71,108,31,0,0,66.6,38,7.429408395,80,0,0,50.79735622,57,0,0,0,0,32,171
Myanmar,0,0,0,0,0,0,4.95901,56,61.4,42,10.56675794,121,3551000,65,51.15752759,39,4.22,56.4,80,84,67,121
Montenegro,0,0,0,0,0,0,3.24757,115,21.2,125,0,0,2077000,83,50.66307979,71,3.21,71.01,108,7,57,149
